ob_end_time,id_type,id,ob_hour_count,version_num,met_domain_name,src_id,rec_st_ind,max_air_temp,min_air_temp,min_grss_temp,min_conc_temp,max_air_temp_q,min_air_temp_q,min_grss_temp_q,min_conc_temp_q,max_air_temp_j,min_air_temp_j,min_grss_temp_j,min_conc_temp_j,meto_stmp_time,midas_stmp_etime
2000-01-30 09:00:00,DCNN,2423,12,1,NCM,384,1011,9.0,6.5,4.9,4.8,6,6,6,6,NA,NA,NA,NA,2000-01-30 08:59:00,4087.0
2000-01-30 21:00:00,DCNN,2423,12,1,NCM,384,1011,12.6,7.6,NA,NA,6,6,NA,NA,NA,NA,NA,NA,2000-01-30 20:53:00,3373.0
2000-01-31 09:00:00,DCNN,2423,12,1,NCM,384,1011,12.1,8.4,6.6,6.2,6,6,6,6,NA,NA,NA,NA,2000-01-31 08:56:00,12743.0
2000-01-31 21:00:00,DCNN,2423,12,1,NCM,384,1011,11.8,8.0,NA,NA,6,6,NA,NA,NA,NA,NA,NA,2000-01-31 20:53:00,12026.0
2000-02-01 09:00:00,DCNN,2423,12,1,NCM,384,1011,9.4,7.7,5.6,5.9,6,6,6,6,NA,NA,NA,NA,2000-02-01 08:57:00,11302.0
2000-02-01 21:00:00,DCNN,2423,12,1,NCM,384,1011,10.4,7.2,NA,NA,6,6,NA,NA,NA,NA,NA,NA,2000-02-01 20:56:00,10583.0
2000-02-02 09:00:00,DCNN,2423,12,1,NCM,384,1011,8.0,2.9,-1.2,-0.5,6,6,6,6,NA,NA,NA,NA,2000-02-02 09:03:00,9856.0
2000-02-02 21:00:00,DCNN,2423,12,1,NCM,384,1011,9.0,4.3,NA,NA,6,6,NA,NA,NA,NA,NA,NA,2000-02-02 21:00:00,9139.0
2000-02-03 09:00:00,DCNN,2423,12,1,NCM,384,1011,7.5,4.0,1.4,0.5,6,6,6,6,NA,NA,NA,NA,2000-02-03 09:01:00,8419.0
2000-02-03 21:00:00,DCNN,2423,12,1,NCM,384,1011,8.3,4.7,NA,NA,6,6,NA,NA,NA,NA,NA,NA,2000-02-03 20:55:00,7705.0
2000-02-04 09:00:00,DCNN,2423,12,1,NCM,384,1011,9.6,6.7,5.3,5.2,6,6,6,6,NA,NA,NA,NA,2000-02-04 08:58:00,6982.0
2000-02-04 21:00:00,DCNN,2423,12,1,NCM,384,1011,11.7,9.2,NA,NA,6,6,NA,NA,NA,NA,NA,NA,2000-02-04 20:57:00,6263.0
2000-02-05 09:00:00,DCNN,2423,12,1,NCM,384,1011,9.7,8.1,6.1,5.8,6,6,6,6,NA,NA,NA,NA,2000-02-05 08:55:00,5545.0
2000-02-05 21:00:00,DCNN,2423,12,1,NCM,384,1011,8.8,7.0,NA,NA,6,6,NA,NA,NA,NA,NA,NA,2000-02-05 20:56:00,4824.0
2000-02-06 09:00:00,DCNN,2423,12,1,NCM,384,1011,9.6,6.8,3.6,3.8,6,6,6,6,NA,NA,NA,NA,2000-02-06 09:04:00,4096.0
2000-02-06 21:00:00,DCNN,2423,12,1,NCM,384,1011,11.9,9.3,NA,NA,6,6,NA,NA,NA,NA,NA,NA,2000-02-06 20:54:00,3386.0
2000-02-07 09:00:00,DCNN,2423,12,1,NCM,384,1011,10.3,4.3,1.4,0.8,6,6,6,6,NA,NA,NA,NA,2000-02-07 08:56:00,12781.0
2000-02-07 21:00:00,DCNN,2423,12,1,NCM,384,1011,10.4,4.9,NA,NA,6,6,NA,NA,NA,NA,NA,NA,2000-02-07 20:58:00,12059.0
2000-02-08 09:00:00,DCNN,2423,12,1,NCM,384,1011,8.7,5.9,1.9,2.3,6,6,6,6,NA,NA,NA,NA,2000-02-08 09:02:00,11335.0
2000-02-08 21:00:00,DCNN,2423,12,1,NCM,384,1011,12.2,3.7,NA,NA,6,6,NA,NA,NA,NA,NA,NA,2000-02-08 20:53:00,10624.0
2000-02-09 09:00:00,DCNN,2423,12,1,NCM,384,1011,6.3,1.9,-0.4,-0.2,6,6,6,6,NA,NA,NA,NA,2000-02-09 08:59:00,9899.0
2000-02-09 21:00:00,DCNN,2423,12,1,NCM,384,1011,9.9,5.8,NA,NA,6,6,NA,NA,NA,NA,NA,NA,2000-02-09 20:57:00,9181.0
2000-02-10 09:00:00,DCNN,2423,12,1,NCM,384,1011,8.8,5.1,2.1,2.0,6,6,6,6,NA,NA,NA,NA,2000-02-10 09:19:00,8439.0
2000-02-10 21:00:00,DCNN,2423,12,1,NCM,384,1011,8.3,2.7,NA,NA,6,6,NA,NA,NA,NA,NA,NA,2000-02-10 20:59:00,7739.0
2000-02-11 09:00:00,DCNN,2423,12,1,NCM,384,1011,3.5,1.2,-2.1,-2.0,6,6,6,6,NA,NA,NA,NA,2000-02-11 08:58:00,7020.0
2000-02-11 21:00:00,DCNN,2423,12,1,NCM,384,1011,9.3,3.0,NA,NA,6,6,NA,NA,NA,NA,NA,NA,2000-02-11 20:54:00,6304.0
2000-02-12 09:00:00,DCNN,2423,12,1,NCM,384,1011,6.9,5.2,2.9,2.7,6,6,6,6,NA,NA,NA,NA,2000-02-12 09:22:00,5556.0
2000-02-12 21:00:00,DCNN,2423,12,1,NCM,384,1011,7.4,3.8,NA,NA,6,6,NA,NA,NA,NA,NA,NA,2000-02-12 21:13:00,4845.0
2000-02-13 09:00:00,DCNN,2423,12,1,NCM,384,1011,4.8,2.0,-2.0,-1.6,6,6,6,6,NA,NA,NA,NA,2000-02-13 08:58:00,4140.0
2000-02-13 21:00:00,DCNN,2423,12,1,NCM,384,1011,8.2,2.7,NA,NA,6,6,NA,NA,NA,NA,NA,NA,2000-02-13 20:55:00,3423.0
2000-02-14 09:00:00,DCNN,2423,12,1,NCM,384,1011,3.5,-2.0,-5.0,-3.7,6,6,6,6,NA,NA,NA,NA,2000-02-14 09:01:00,12745.0
2000-02-14 21:00:00,DCNN,2423,12,1,NCM,384,1011,8.0,2.7,NA,NA,6,6,NA,NA,NA,NA,NA,NA,2000-02-14 20:53:00,12033.0
2000-02-15 09:00:00,DCNN,2423,12,1,NCM,384,1011,7.7,2.1,-1.0,-0.8,6,6,6,6,NA,NA,NA,NA,2000-02-15 08:59:00,11307.0
2000-02-15 21:00:00,DCNN,2423,12,1,NCM,384,1011,6.6,3.2,NA,NA,6,6,NA,NA,NA,NA,NA,NA,2000-02-15 21:23:00,10563.0
2000-02-16 09:00:00,DCNN,2423,12,1,NCM,384,1011,5.1,0.2,-3.4,-2.7,6,6,6,6,NA,NA,NA,NA,2000-02-16 09:03:00,9863.0
2000-02-16 21:00:00,DCNN,2423,12,1,NCM,384,1011,4.9,0.7,NA,NA,6,6,NA,NA,NA,NA,NA,NA,2000-02-16 20:57:00,9149.0
2000-02-17 09:00:00,DCNN,2423,12,1,NCM,384,1011,1.4,-1.8,-5.6,-4.6,6,6,6,6,NA,NA,NA,NA,2000-02-17 09:41:00,8386.0
2000-02-17 21:00:00,DCNN,2423,12,1,NCM,384,1011,6.9,0.2,NA,NA,6,6,NA,NA,NA,NA,NA,NA,2000-02-17 20:57:00,7710.0
2000-02-18 09:00:00,DCNN,2423,12,1,NCM,384,1011,6.8,2.7,0.6,0.9,6,6,6,6,NA,NA,NA,NA,2000-02-18 09:03:00,6984.0
2000-02-18 21:00:00,DCNN,2423,12,1,NCM,384,1011,8.8,5.1,NA,NA,6,6,NA,NA,NA,NA,NA,NA,2000-02-18 20:55:00,6272.0
2000-02-19 09:00:00,DCNN,2423,12,1,NCM,384,1011,6.4,2.4,0.2,0.0,6,6,6,6,NA,NA,NA,NA,2000-02-19 09:01:00,5546.0
2000-02-19 21:00:00,DCNN,2423,12,1,NCM,384,1011,6.2,1.9,NA,NA,6,6,NA,NA,NA,NA,NA,NA,2000-02-19 20:53:00,4834.0
2000-02-20 09:00:00,DCNN,2423,12,1,NCM,384,1011,2.4,-0.9,-3.6,-3.1,6,6,6,6,NA,NA,NA,NA,2000-02-20 08:56:00,4111.0
2000-02-20 21:00:00,DCNN,2423,12,1,NCM,384,1011,7.0,0.3,NA,NA,6,6,NA,NA,NA,NA,NA,NA,2000-02-20 20:54:00,3393.0
2000-02-21 09:00:00,DCNN,2423,12,1,NCM,384,1011,4.7,0.6,-2.5,-1.6,6,6,6,6,NA,NA,NA,NA,2000-02-21 09:00:00,12753.0
2000-02-21 21:00:00,DCNN,2423,12,1,NCM,384,1011,8.5,2.7,NA,NA,6,6,NA,NA,NA,NA,NA,NA,2000-02-21 20:54:00,12039.0
2000-02-22 09:00:00,DCNN,2423,12,1,NCM,384,1011,3.1,-0.9,-5.8,-3.7,6,6,6,6,NA,NA,NA,NA,2000-02-22 08:59:00,11314.0
2000-02-22 21:00:00,DCNN,2423,12,1,NCM,384,1011,8.0,0.9,NA,NA,6,6,NA,NA,NA,NA,NA,NA,2000-02-22 20:57:00,10596.0
2000-02-23 09:00:00,DCNN,2423,12,1,NCM,384,1011,6.6,0.0,-3.7,-1.7,6,6,6,6,NA,NA,NA,NA,2000-02-23 09:03:00,9870.0
2000-02-23 21:00:00,DCNN,2423,12,1,NCM,384,1011,10.4,6.4,NA,NA,6,6,NA,NA,NA,NA,NA,NA,2000-02-23 20:55:00,9158.0
2000-02-24 09:00:00,DCNN,2423,12,1,NCM,384,1011,10.6,4.2,-1.2,0.4,6,6,6,6,NA,NA,NA,NA,2000-02-24 08:57:00,8437.0
